CADD_score_normalized	has_driver
0.3817374069198459	Drivers
0.35936942169771735	Drivers
-0.5750765525366041	Drivers
0.2560222040137813	Drivers
1.3807301915562855	Drivers
0.8747478813544152	Drivers
0.2560222040137813	Drivers
-0.4786001996822303	Drivers
1.5186866906013978	Drivers
0.7204317976554598	Passengers in absence of driver
0.2560222040137813	Drivers
0.2560222040137813	Drivers
0.5381174904133397	Drivers
0.2560222040137813	Drivers
-1.7718328845981153	Drivers
0.2560222040137813	Drivers
0.5504047149924538	Drivers
0.2560222040137813	Drivers
0.2134494221879774	Drivers
1.9996245920389015	Drivers
0.2560222040137813	Drivers
0.18560291458724523	Drivers
0.2560222040137813	Drivers
0.23704177383785568	Drivers
0.2560222040137813	Drivers
0.8990178100312084	Drivers
0.2560222040137813	Drivers
-1.480564591133016	Passengers in absence of driver
0.2560222040137813	Drivers
0.3783953865577108	Drivers
0.2560222040137813	Drivers
0.2560222040137813	Drivers
0.028685777759216678	Drivers
0.2560222040137813	Drivers
-0.3948414726667141	Drivers
0.4073467083560785	Drivers
-0.3283480665984526	Drivers
2.0591195210057087	Passengers in absence of driver
-0.8040068959716342	Passengers in absence of driver
1.9819148754500442	Passengers in absence of driver
-0.4323732195181212	Drivers
-0.7541213065338466	Passengers in absence of driver
-0.7047884072865944	Passengers in absence of driver
-0.38569147292517303	Passengers in absence of driver
0.8450066500232428	Passengers in absence of driver
1.5808309569613213	Drivers
0.9316965705172457	Passengers in absence of driver
-0.22296296461236081	Passengers in absence of driver
-0.11557339583303486	Passengers in absence of driver
0.17919710058985894	Passengers in absence of driver
-0.6599121338932327	Passengers in absence of driver
-0.6648022410222681	Drivers
0.4386783870666566	Passengers in absence of driver
-1.3532299667668064	Passengers in absence of driver
-0.24802598179605173	Passengers in absence of driver
-0.488984637163656	Passengers in absence of driver
-0.23940870700800815	Passengers in absence of driver
4.25367039789325	Passengers in absence of driver
-0.10707073367529372	Passengers in absence of driver
-0.4214389028973154	Passengers in absence of driver
-0.07423130869141177	Passengers in absence of driver
-0.5111308484879775	Passengers in absence of driver
0.9248957198611548	Drivers
-0.05406480269143575	Passengers in absence of driver
0.15338435683513393	Passengers in absence of driver
-0.1512684119479726	Passengers in absence of driver
-0.32142122080878743	Passengers in absence of driver
0.03564392152191948	Passengers in absence of driver
0.6342581340604667	Passengers in absence of driver
-0.6422913372438551	Passengers in absence of driver
-0.49059679894272445	Passengers in absence of driver
-0.514952576521842	Passengers in absence of driver
0.04092733669030897	Drivers
-0.2460172338966946	Passengers in absence of driver
-0.30165593841790245	Passengers in absence of driver
-0.6360425736831268	Passengers in absence of driver
-0.39231049828997644	Passengers in absence of driver
-0.30729437678561533	Passengers in absence of driver
-0.26941388554385864	Passengers in absence of driver
0.25708380761766053	Passengers in absence of driver
-1.6775288868189182	Passengers in absence of driver
-0.09585272713099362	Passengers in absence of driver
-0.22849677139004143	Passengers in absence of driver
-0.8069626722517366	Passengers in absence of driver
-0.0776636864746359	Passengers in absence of driver
-0.1652645913894654	Passengers in absence of driver
-0.8524747973142066	Passengers in absence of driver
-0.03115216163803664	Passengers in absence of driver
-0.8329548073965499	Passengers in absence of driver
-1.2290001387048457	Passengers in absence of driver
0.9633652230522894	Passengers in absence of driver
0.18818485406262003	Passengers in absence of driver
-1.059461187774587	Passengers in absence of driver
0.5230772100656028	Passengers in absence of driver
-0.099603806567929	Passengers in absence of driver
-0.9694654836740371	Passengers in absence of driver
0.05033585082868295	Passengers in absence of driver
0.5149778254549816	Passengers in absence of driver
-0.25459249858042393	Passengers in absence of driver
0.3777861550056915	Passengers in absence of driver
-0.6227996008235653	Passengers in absence of driver
-0.4644571813823738	Passengers in absence of driver
0.38315904520405014	Passengers in absence of driver
-0.2078155378994784	Passengers in absence of driver
0.1288299674787496	Passengers in absence of driver
0.0013788554149177029	Passengers in absence of driver
-0.1370769415591635	Passengers in absence of driver
-0.7681466947242583	Passengers in absence of driver
-0.3992910336224061	Passengers in absence of driver
-0.7748262825418747	Passengers in absence of driver
-0.14497893760484043	Passengers in absence of driver
-0.6474503081771189	Passengers in absence of driver
0.21268246917925188	Passengers in absence of driver
-0.4785246989230631	Passengers in absence of driver
-0.47601337140854233	Passengers in absence of driver
1.2213628979352378	Passengers in absence of driver
-0.4274606934513199	Passengers in absence of driver
-0.32887784651270824	Passengers in absence of driver
-0.5129539228281021	Passengers in absence of driver
-0.061215370834501376	Passengers in absence of driver
-0.015519583452051918	Passengers in absence of driver
-0.02956222378622496	Passengers in absence of driver
-0.11570436814318422	Passengers in absence of driver
-1.0061971482793737	Passengers in absence of driver
-0.01783342759802361	Passengers in absence of driver
0.3818699761161292	Passengers in absence of driver
-0.11908104505887354	Passengers in absence of driver
-0.1408405136898917	Passengers in absence of driver
-0.028208843248015092	Passengers in absence of driver
-0.1004107164327571	Passengers in absence of driver
-0.5168122531969224	Passengers in absence of driver
