has_driver	CADD_score_norm_sum
Passengers in absence of driver	0.3689073656606441
Drivers	0.1393549543626389
Drivers	0.3010299956639812
Passengers in presence of driver	0.014219389100603391
Passengers in absence of driver	0.09338777315046769
Passengers in absence of driver	0.40511036396504463
Passengers in absence of driver	0.34501692794180866
Passengers in absence of driver	0.026996081871940542
Passengers in absence of driver	0.8233608816700247
Passengers in absence of driver	1.9272871403739291
Passengers in absence of driver	0.01934911008634622
Passengers in absence of driver	1.8214958635995102
Passengers in absence of driver	2.11541322464709
Drivers	0.059555622085981856
Passengers in presence of driver	0.46467920520608624
Drivers	0.16058519042216668
Passengers in presence of driver	0.029569020923194998
Passengers in absence of driver	0.7299419019444315
Drivers	0.1891801104820608
Drivers	0.16897401004010942
Passengers in absence of driver	0.04185270449585248
Drivers	0.2753352609806328
Passengers in presence of driver	0.08398734958659487
Passengers in absence of driver	0.33521712716508023
Passengers in absence of driver	0.8296630228897269
Passengers in absence of driver	0.03189405827807544
Passengers in absence of driver	0.8048713329249226
Passengers in absence of driver	0.8496091992411005
Drivers	0.059555622085981856
Passengers in absence of driver	0.15379039846338277
Passengers in absence of driver	0.06858235205297732
Passengers in absence of driver	0.024795464707712492
Passengers in absence of driver	0.42786753418116663
Passengers in absence of driver	0.03488340967232748
Drivers	0.2559277744648491
Passengers in absence of driver	0.09236857727893914
Drivers	0.2586057979420422
Passengers in absence of driver	0.28759200901676457
Drivers	0.16014353767752249
Passengers in absence of driver	0.32211558320346223
Drivers	0.1836042113753987
Drivers	0.2663323996625948
Drivers	0.2850866998780708
Passengers in absence of driver	0.2917593157777511
Drivers	0.15373269149689428
Passengers in absence of driver	0.18706671525784624
Passengers in absence of driver	0.26477468102311674
Passengers in absence of driver	0.0902429446710195
Drivers	0.2834310672766581
Passengers in absence of driver	0.02262682824159067
Passengers in absence of driver	0.12514983185550538
Passengers in absence of driver	0.15977112573320842
Passengers in absence of driver	0.3459447427479562
Passengers in absence of driver	0.07351327828835869
Passengers in absence of driver	0.31372613744991357
Passengers in absence of driver	0.9369806211114723
Passengers in absence of driver	0.20170138114012034
Passengers in absence of driver	0.026839890647808496
Passengers in absence of driver	0.06208355666237389
Drivers	0.2506925333413023
Passengers in absence of driver	0.04843077281197566
Passengers in absence of driver	0.12908408508778382
Passengers in absence of driver	0.47794652793535447
Passengers in absence of driver	0.05245892184843434
Drivers	0.1619541635781873
Passengers in absence of driver	0.044330244793670266
Passengers in absence of driver	0.952135723310049
Passengers in absence of driver	0.09370630999123075
Drivers	0.18891535795417488
Passengers in presence of driver	0.0201869214376541
Drivers	0.2107535592545038
Passengers in absence of driver	0.023736245275296504
Passengers in absence of driver	0.03311683302957945
Passengers in absence of driver	0.4120896595231638
Passengers in absence of driver	0.011267788016344949
Drivers	0.22932390078516304
Passengers in absence of driver	0.5948123323829252
Drivers	0.29715786340136063
Passengers in absence of driver	0.4826581471141256
Drivers	0.10502851906033135
Passengers in presence of driver	0.1943984028601531
Passengers in absence of driver	0.06491127841231024
Passengers in absence of driver	0.05311840035474098
Passengers in absence of driver	0.7776629489136273
Passengers in absence of driver	0.37288759434341906
Passengers in absence of driver	0.1869078046469952
Drivers	0.2586057979420422
Passengers in absence of driver	0.562441622587007
Passengers in absence of driver	0.04973126742850712
Passengers in absence of driver	0.21427254707354923
Passengers in absence of driver	0.06401961701170245
Passengers in absence of driver	0.2952237552962784
Drivers	0.13386491304842812
Passengers in absence of driver	0.06417923515685742
Passengers in absence of driver	0.05145028811217775
Passengers in absence of driver	0.040532039266063774
Passengers in absence of driver	0.039573485014684946
Passengers in absence of driver	0.1319328555117355
Drivers	0.16136296093582628
Drivers	0.25003269369994086
Drivers	0.14761078724060078
Passengers in presence of driver	0.29663344504811623
Drivers	0.2850866998780708
Passengers in absence of driver	0.6919054997683796
Passengers in absence of driver	0.8283621348195537
Drivers	0.2250760798983907
Passengers in absence of driver	0.12669178001836845
Passengers in absence of driver	0.5380988482133011
Drivers	0.23579541832312267
Passengers in absence of driver	0.0719351861683307
Passengers in absence of driver	0.28324339164871315
Passengers in absence of driver	0.6829611188877505
Passengers in absence of driver	0.0373979119640652
Passengers in absence of driver	0.040033580153028825
Drivers	0.18587196069047993
Passengers in absence of driver	0.16902940149208653
Passengers in absence of driver	0.04676148536436715
Passengers in absence of driver	0.16519574247713267
Passengers in absence of driver	0.06407229352565225
Passengers in absence of driver	0.25623538015145036
Passengers in absence of driver	0.24676431411177185
Passengers in absence of driver	0.07564104813826404
Drivers	0.059555622085981856
Passengers in absence of driver	0.04778623683043124
Drivers	0.2753352609806328
Passengers in presence of driver	0.08038985831616736
Passengers in absence of driver	0.3364743129191075
Passengers in absence of driver	0.8196315303725774
Passengers in absence of driver	0.008730890419160033
Passengers in absence of driver	0.13249395277921802
Passengers in absence of driver	0.8263883841184176
Passengers in absence of driver	1.0956050344533297
Drivers	0.05902800889822701
Passengers in presence of driver	0.1298095180321598
Passengers in absence of driver	0.1011908828187741
Passengers in absence of driver	0.21872838427147245
Passengers in absence of driver	0.18541532983721573
Passengers in absence of driver	0.056140161244647796
Passengers in absence of driver	0.0777178788378863
Passengers in absence of driver	0.2201690614988755
Passengers in absence of driver	0.059043965240799245
Passengers in absence of driver	0.5146394591278539
Passengers in absence of driver	0.2473783167080708
Drivers	0.17197688044331758
Passengers in presence of driver	0.06736807468364808
Drivers	0.2811209396585015
Passengers in presence of driver	0.07210245816820497
Passengers in absence of driver	0.36970374732375644
Drivers	0.14454613577849718
Passengers in absence of driver	0.5670354566335474
Drivers	0.2766793664649178
Passengers in absence of driver	0.6399341944603488
Drivers	0.17766131120357556
Drivers	0.3010299956639812
Passengers in presence of driver	0.08157191299749315
Passengers in absence of driver	0.35033490807118073
Passengers in absence of driver	0.05874305317966052
Drivers	0.4007164397535684
Passengers in presence of driver	0.13781498436386586
Passengers in absence of driver	0.00551382238560046
Passengers in absence of driver	0.8400503027735189
Passengers in absence of driver	0.023454193118809568
Drivers	0.29753427008333316
Passengers in presence of driver	0.16699755860868493
Passengers in absence of driver	0.20187159744247965
Drivers	0.2517390644874464
Passengers in presence of driver	0.7657862884308984
Passengers in absence of driver	0.6805420831792801
Passengers in absence of driver	0.8897558582164441
Drivers	0.4210520849484906
Passengers in presence of driver	0.5563284155626262
Drivers	0.4882321486879223
Passengers in presence of driver	0.6637893353131937
Passengers in absence of driver	2.223746350093728
Drivers	0.406433616174022
Passengers in presence of driver	0.39271622473280304
Passengers in absence of driver	0.1543816204168792
Drivers	0.4311175189218012
Passengers in absence of driver	0.06224861644122531
Passengers in absence of driver	0.04794274758076624
Passengers in absence of driver	0.03716970546321457
Passengers in absence of driver	0.2788391211271694
Drivers	0.18310278931495577
Passengers in absence of driver	0.00984851113273326
Passengers in absence of driver	0.35716683972067353
Drivers	0.2586057979420422
Passengers in absence of driver	0.3390789359348254
Drivers	0.2116356819753393
Drivers	0.2084046506685534
Passengers in absence of driver	0.10112627969258163
Drivers	0.297835960255342
Drivers	0.2615284655221477
Passengers in absence of driver	0.2268033216838634
Passengers in absence of driver	0.04122950500645933
Passengers in absence of driver	0.30700935513308664
Passengers in absence of driver	0.11208361581739468
Passengers in absence of driver	0.26153252589269055
Passengers in absence of driver	0.05839738766415556
Passengers in absence of driver	0.4436562856683248
Passengers in absence of driver	0.08718688389482132
Passengers in presence of driver	0.12013842443094333
Passengers in absence of driver	0.042088964717519904
Passengers in absence of driver	0.4526478240879479
Passengers in absence of driver	1.0808973246328752
Passengers in absence of driver	0.040452126176795236
Passengers in absence of driver	0.017780772135868577
Passengers in absence of driver	1.2796259790404638
Passengers in absence of driver	1.4446673454195682
Drivers	0.10841708987132483
Passengers in presence of driver	0.1143893460984874
Passengers in absence of driver	0.02803592630761509
Passengers in absence of driver	0.153517271158668
Passengers in absence of driver	0.05959599286474048
Passengers in absence of driver	0.4276330575194889
Passengers in absence of driver	0.04695068922897636
Passengers in absence of driver	0.1697479669298184
Passengers in absence of driver	0.0
Passengers in absence of driver	0.5858471383997382
Passengers in absence of driver	0.7206388380885042
Drivers	0.34767373729771506
Passengers in absence of driver	0.08102089473151178
Drivers	0.42683986130547813
Drivers	0.059555622085981856
Passengers in presence of driver	0.034167961604546805
Passengers in absence of driver	0.35567661519991983
Passengers in absence of driver	0.011740689229386965
Passengers in absence of driver	0.8307363446331203
Passengers in absence of driver	0.6531964177597063
Drivers	0.14337705293416111
Drivers	0.39013366027087865
Passengers in absence of driver	0.4744855149623711
Passengers in absence of driver	0.07524263589499508
Passengers in absence of driver	0.0514862636066538
Passengers in absence of driver	0.41946733804653774
Passengers in absence of driver	0.05147923488069468
Passengers in absence of driver	0.03918363736963877
Passengers in absence of driver	0.03820323711512178
Passengers in absence of driver	0.1978808230698452
Passengers in absence of driver	0.48731767964346473
Passengers in absence of driver	0.23055913013781226
Passengers in absence of driver	0.2690015188751775
Passengers in absence of driver	0.04334634769022563
Drivers	0.16151911227108068
Passengers in absence of driver	0.06212456338443583
Passengers in absence of driver	0.09512221097218192
Passengers in absence of driver	0.3826263550185881
Passengers in absence of driver	0.04352332396606811
Passengers in absence of driver	0.19091013389563227
Passengers in absence of driver	0.3191048429219616
Passengers in absence of driver	0.050089103888913813
Passengers in absence of driver	0.5020459675185088
Passengers in absence of driver	0.01963294101717646
Passengers in absence of driver	0.040807544427116586
Passengers in absence of driver	0.023751102286777424
Passengers in absence of driver	0.05075911628017033
Passengers in absence of driver	0.4974427823675198
Passengers in absence of driver	0.06986312972255593
Passengers in absence of driver	0.1094454996847867
Passengers in absence of driver	0.051331852341155594
Passengers in absence of driver	0.3232281182658342
Passengers in absence of driver	0.027309070170521817
Passengers in absence of driver	0.08732690587998178
Passengers in absence of driver	0.2669518114126919
Passengers in absence of driver	0.19280212784724188
Passengers in absence of driver	0.03864672566145167
Passengers in absence of driver	0.03930740343404036
Passengers in absence of driver	0.28159186614808907
Drivers	0.3010299956639812
Passengers in absence of driver	0.006208616535916901
Passengers in absence of driver	0.4652261773200662
Drivers	0.20153167140165434
Passengers in presence of driver	0.041725879355066504
Passengers in absence of driver	0.16509176993253413
Passengers in absence of driver	0.2535177112056865
Passengers in absence of driver	0.2361957991712434
Passengers in absence of driver	0.04185524022090792
Passengers in absence of driver	0.13386556722203802
Passengers in absence of driver	0.050355141827225246
Passengers in absence of driver	0.6212014663971508
Passengers in absence of driver	0.31191915690149824
Passengers in absence of driver	0.31998582444444423
Passengers in absence of driver	0.02473157093852569
Passengers in absence of driver	0.004503131925998053
Passengers in absence of driver	0.4181871233144808
Passengers in absence of driver	0.15161864222532165
Passengers in absence of driver	0.04710845889795066
Passengers in absence of driver	0.11298379005547765
Drivers	0.3010299956639812
Passengers in absence of driver	0.05331815163112842
Passengers in absence of driver	0.27158771116168184
Passengers in absence of driver	0.12631699879532096
Passengers in absence of driver	0.5293823112166246
Passengers in absence of driver	0.051231511844642044
Passengers in absence of driver	0.16517731588485882
Passengers in absence of driver	0.042469003584560586
Drivers	0.1804306977400761
Passengers in absence of driver	0.08634027027761888
Passengers in absence of driver	0.07747574200015292
Passengers in absence of driver	0.025435023354184915
Passengers in absence of driver	0.10375750131006242
Drivers	0.05902800889822701
Passengers in presence of driver	0.04414702697979508
Drivers	0.18310278931495577
Passengers in absence of driver	0.34984230745095996
Passengers in absence of driver	0.13015950677420932
Passengers in absence of driver	0.13119669288452035
Passengers in absence of driver	0.25184786510802676
Passengers in absence of driver	0.11219730297358071
Passengers in absence of driver	0.04725968036040972
Passengers in absence of driver	0.06781705075723755
Passengers in absence of driver	0.2218863935741958
Passengers in absence of driver	0.14224871261728436
Passengers in absence of driver	0.2898928582274456
Drivers	0.16242550199484787
Passengers in absence of driver	0.23215996906285266
Passengers in absence of driver	0.0
Passengers in absence of driver	0.09092923687479348
Drivers	0.2586057979420422
Passengers in absence of driver	0.07700074278351357
Passengers in absence of driver	0.25107536899414545
Drivers	0.297835960255342
Passengers in absence of driver	0.07768879673027082
Passengers in absence of driver	0.40901129760007593
Passengers in absence of driver	0.059213062844380104
Passengers in absence of driver	0.042316276237344796
Passengers in absence of driver	0.04590220101326673
Passengers in absence of driver	0.26537169333334043
Drivers	0.20910817609992566
Passengers in absence of driver	0.08205129498483953
Passengers in absence of driver	0.5882941411231826
Drivers	0.28872513193946414
Passengers in absence of driver	0.04073918970155912
Passengers in absence of driver	0.06647727904439546
Passengers in absence of driver	1.2070060911791352
Drivers	0.2878032169238619
Passengers in presence of driver	0.021853760706211763
Drivers	0.27277093000398595
Passengers in presence of driver	0.022675543051441604
Drivers	0.3044233743084064
Passengers in presence of driver	0.14214039728037506
Passengers in absence of driver	0.057942448689829326
Passengers in absence of driver	0.11210499698345473
Passengers in absence of driver	0.0629399312381967
Passengers in absence of driver	0.29953488519103005
Passengers in absence of driver	0.5667103862191172
Passengers in absence of driver	1.1592220330534044
Passengers in absence of driver	0.0659806582678877
Drivers	0.2729285835312733
Passengers in presence of driver	0.08052642457567184
Passengers in absence of driver	1.206966390109416
Passengers in absence of driver	1.216410428463182
Drivers	0.05902800889822701
Passengers in absence of driver	0.08875204233737444
Passengers in presence of driver	0.2313656855869231
Drivers	0.26907214371053223
