driver_status	adj_splicing_density
Drivers	1.9141930702124057
Passengers in absence of driver	2.1258695480197036
Drivers	7.683300500029197
Passengers in absence of driver	1.4576498073647908
Passengers in absence of driver	2.3496287941886536
Passengers in absence of driver	2.267538789673564
Passengers in absence of driver	1.8322031353938848
Passengers in absence of driver	3.098946515069044
Passengers in absence of driver	1.224915656126211
Passengers in absence of driver	1.1346599428477175
Drivers	5.256328773837708
Passengers in presence of driver	5.256328773837708
Drivers	4.824016639396174
Drivers	84.5095812605708
Drivers	32.86001561466867
Drivers	38.59246339360126
Drivers	4.891980671631492
Drivers	176.79435915497822
Drivers	12.648128857555784
Passengers in absence of driver	9.328679779729464
Passengers in absence of driver	3.935667190536767
Passengers in absence of driver	2.009055085001859
Passengers in absence of driver	0.8632757602223332
Drivers	3.5058734489506413
Passengers in presence of driver	3.5058734489506413
Drivers	3.890141282053828
Passengers in presence of driver	3.890141282053828
Passengers in absence of driver	3.706285114126966
Drivers	48.76675282735917
Passengers in absence of driver	3.7570077381374247
Passengers in absence of driver	1.2002589091995948
Passengers in absence of driver	4.4097171137257165
Passengers in absence of driver	1.6392903454309644
Passengers in absence of driver	5.054885600324943
Drivers	88.7301555700272
Passengers in absence of driver	2.9638508393680225
Passengers in absence of driver	2.34796883659653
Drivers	37.340328670506466
Passengers in absence of driver	5.153580227421594
Passengers in absence of driver	1.975709717958973
Drivers	0.193983068839377
Passengers in presence of driver	0.775932275357508
Drivers	0.09178073420536507
Passengers in presence of driver	0.7342458736429206
Passengers in absence of driver	0.6889873310542562
Drivers	0.2916009246003385
Passengers in presence of driver	1.166403698401354
Drivers	0.29260272816821964
Passengers in presence of driver	0.5852054563364393
Passengers in absence of driver	1.4126293131457117
Passengers in absence of driver	0.3450284464503467
Drivers	2.4915385055464583
Passengers in presence of driver	2.4915385055464583
Passengers in absence of driver	0.5223912837133704
Drivers	6.283687684227414
Passengers in presence of driver	6.283687684227414
Drivers	120.98326120966627
Passengers in presence of driver	1572.7823957256614
Passengers in absence of driver	9.730796540623983
Drivers	28.155848251240265
Passengers in absence of driver	1.4205865105508955
Passengers in absence of driver	4.285039665520838
Drivers	3.8409156036070526
Drivers	48.14966045987951
Passengers in absence of driver	1.340329666546553
Passengers in absence of driver	2.1605169927038044
Passengers in absence of driver	1.0425170347804742
Passengers in absence of driver	1.531578875118203
Passengers in absence of driver	0.5412480599130318
Passengers in absence of driver	0.9785810800086298
Passengers in absence of driver	1.0853275708727759
Passengers in absence of driver	2.3384062330855357
Passengers in absence of driver	3.777989397524934
Passengers in absence of driver	1.9969782237244271
Drivers	26.275944898785184
Passengers in absence of driver	2.019829552921244
Drivers	1.9024815586576718
Drivers	10.929959032737427
Drivers	15.867109782152516
Passengers in absence of driver	1.945061111887231
Passengers in absence of driver	0.8852910610983017
Drivers	1.5213473752174718
Passengers in absence of driver	2.571882070475529
Passengers in absence of driver	0.608809532101256
Drivers	5.432202312597169
Passengers in absence of driver	1.475459678333136
Passengers in absence of driver	1.4195834771107072
Drivers	11.330130239422223
Passengers in absence of driver	1.2833094795911286
Passengers in absence of driver	1.8299528189402658
Passengers in absence of driver	2.477224272308519
Drivers	2.7487450836246077
Drivers	2.618833673976214
Drivers	34.45822718494396
Passengers in absence of driver	0.5091749494346631
Passengers in absence of driver	0.31420337504697343
Passengers in absence of driver	0.5925119003719206
Passengers in absence of driver	1.1238011279350815
Drivers	1.7798241008740228
Drivers	2.8980870307127673
Passengers in absence of driver	2.1417656592776235
Passengers in absence of driver	1.0599320450007716
Drivers	3.311450852170832
Passengers in absence of driver	1.2022082008454344
Passengers in absence of driver	1.2763969356741016
Passengers in absence of driver	1.2120388995294478
Drivers	1.976910613185976
Passengers in absence of driver	1.824341529395233
Passengers in absence of driver	1.559415260367954
Drivers	28.332444402890193
Passengers in absence of driver	1.5454696608503147
Drivers	4.7922821254825525
Passengers in absence of driver	7.459970219425886
Passengers in absence of driver	0.4798550685818754
Drivers	20.81145962212633
Drivers	1.2363915788133175
Passengers in absence of driver	4.663073551370973
Passengers in absence of driver	7.0036151895588095
Drivers	11.403984438122835
Drivers	0.6896215548492476
Drivers	1.1116213607548833
Passengers in absence of driver	1.0839778599351322
Passengers in absence of driver	3.5748659208282025
Passengers in absence of driver	3.168707772806486
Drivers	2.4531940352518924
Passengers in presence of driver	5.724119415587749
Drivers	3.714265285826642
Passengers in absence of driver	6.133928721080002
Passengers in absence of driver	27.583644024556573
Passengers in absence of driver	1.1469790270494125
Drivers	0.8504368400247855
Passengers in absence of driver	1.7207145166583715
Drivers	3.244854269538687
Passengers in absence of driver	22.08341187609315
Drivers	13.586828222206325
Passengers in absence of driver	10.278730915930003
Passengers in absence of driver	2.4585269853576524
Passengers in absence of driver	1.5708612403050666
Passengers in absence of driver	10.817839482734188
Passengers in absence of driver	2.6718795749675506
Drivers	30.37459468900212
Passengers in absence of driver	2.067631481409574
Passengers in absence of driver	11.707871055362132
Drivers	18.13339871028015
Passengers in absence of driver	4.844036544371691
Drivers	7.1519416413005175
Drivers	32.48525169573014
Passengers in absence of driver	3.6892961376075637
Passengers in absence of driver	1.8597321277294363
Drivers	12.133353747701014
Passengers in presence of driver	12.133353747701014
Passengers in absence of driver	1.4732836829457843
Passengers in absence of driver	4.552017435990686
Drivers	21.73641338310972
Passengers in absence of driver	4.748037991466822
Drivers	1.8558651602609162
Passengers in presence of driver	1.8558651602609162
Drivers	4.794015678169099
Passengers in absence of driver	2.4739870849771854
Drivers	10.518177660901978
Drivers	34.23552500605541
Drivers	393.7230699572072
Drivers	10.376270279220504
Passengers in absence of driver	2.2067046566871924
Drivers	13.685356044637867
Drivers	6.01685975245947
Passengers in presence of driver	6.01685975245947
Passengers in absence of driver	47.371453565838756
Drivers	3.3267371516813546
Drivers	6.731087648834682
Drivers	12.69321452484538
Passengers in absence of driver	3.478831121831511
Drivers	53.148927813391985
Passengers in absence of driver	3.884055203765887
Drivers	6.067303076198501
Passengers in absence of driver	1.3766929211781256
Passengers in absence of driver	2.3386386813468865
Passengers in absence of driver	1.110360333260941
Drivers	3.622133131430803
Passengers in absence of driver	2.199074448400323
Drivers	6.488905269769748
Passengers in absence of driver	2.403291956020953
Passengers in absence of driver	2.196970660250831
Drivers	7.953570416293181
Drivers	7.388016941276947
Drivers	26.380038752276928
Drivers	1.2449070492758183
Passengers in absence of driver	1.8778092392979515
Passengers in absence of driver	2.4769670479992425
Drivers	6.705003642493229
Drivers	2.047903325856438
Passengers in absence of driver	2.7077475290788393
Passengers in absence of driver	11.014361419335394
Drivers	3.324716475166097
Passengers in presence of driver	19.948298850996583
Passengers in absence of driver	3.9368645039501513
Drivers	31.338749870629723
Drivers	10.169591282219569
Drivers	36.31207321966444
Passengers in absence of driver	1.9807099095192215
Passengers in absence of driver	5.105690017093212
Passengers in absence of driver	2.0431840886544648
Drivers	12.153762105906667
Passengers in absence of driver	3.068150091156465
