driver_status	type	adj_splicing_density
Passengers in absence of driver	OG	11.014361419335394
Drivers	TSG	3.324716475166097
Passengers in presence of driver	TSG	19.948298850996583
Passengers in absence of driver	OG	3.9368645039501513
Drivers	OG	31.338749870629723
Drivers	OG	10.169591282219569
Drivers	TSG	36.31207321966444
Passengers in absence of driver	OG	5.105690017093212
Passengers in absence of driver	TSG	2.0431840886544648
Drivers	TSG	12.153762105906667
Passengers in absence of driver	TSG	4.949182356215939
Passengers in absence of driver	TSG	5.489053665773793
Drivers	TSG	28.922841090680336
Drivers	TSG	3.4889655620084166
Passengers in presence of driver	TSG	3.4889655620084166
Passengers in absence of driver	OG	3.3490731398222127
Passengers in absence of driver	TSG	0.16538034694171375
Passengers in absence of driver	OG	0.20513581967778344
Passengers in absence of driver	OG	0.2297355676131949
Passengers in absence of driver	OG	3.0220230451550063
Drivers	OG	0.10052403817227888
Passengers in presence of driver	OG	1.608384610756462
Drivers	TSG	0.32719481772487946
Passengers in presence of driver	TSG	0.16359740886243973
Drivers	TSG	15.257095443947852
Drivers	OG	24.68636970177662
Passengers in absence of driver	TSG	0.23894660399188045
Drivers	OG	0.20747057230724436
Passengers in presence of driver	OG	0.4149411446144887
Passengers in absence of driver	OG	1.9102613688117067
Drivers	OG	1.0166815216863216
Passengers in absence of driver	TSG	2.5519694624954194
Passengers in absence of driver	TSG	2.3553172542878067
Passengers in absence of driver	TSG	2.425653434336998
Passengers in absence of driver	OG	2.814119678398006
Drivers	TSG	31.621389201740264
Drivers	TSG	23.161006997157347
Drivers	OG	13.826942506103947
Passengers in absence of driver	TSG	3.022067646353596
Drivers	TSG	24.77040926908715
Passengers in absence of driver	TSG	2.3027201482205695
Drivers	TSG	14.267095725792126
Drivers	TSG	5.987640940273386
Drivers	OG	9.000793960035216
Drivers	TSG	16.12455899331153
Drivers	TSG	20.41343586832058
Passengers in absence of driver	TSG	2.3676108957568105
Passengers in absence of driver	TSG	13.71605253779619
Drivers	OG	2.193163806979818
Passengers in absence of driver	TSG	1.9414345353455884
Passengers in absence of driver	TSG	4.054804905292125
Passengers in absence of driver	TSG	0.9106804521466518
Passengers in absence of driver	TSG	1.0831913258786026
Passengers in absence of driver	TSG	0.89687294667245
Passengers in absence of driver	TSG	1.1366931949202899
Passengers in absence of driver	OG	2.4424265017180984
Passengers in absence of driver	OG	1.838113147444338
Passengers in absence of driver	TSG	1.284413884202939
Passengers in absence of driver	TSG	1.458502823515616
Drivers	TSG	145.14367409439419
Passengers in absence of driver	TSG	10.383792229455226
Passengers in absence of driver	OG	150.49734905974194
Drivers	TSG	3.3412578781744466
Passengers in absence of driver	OG	1.7418747575164046
Drivers	TSG	11.164159475552445
Passengers in absence of driver	TSG	0.6958525824822444
Passengers in absence of driver	OG	45.25673381708474
Passengers in absence of driver	OG	3.507100577205737
Drivers	TSG	2.600367977259847
Passengers in presence of driver	TSG	2.600367977259847
Drivers	TSG	19.843484515880988
Passengers in absence of driver	TSG	2.8418423979710554
Passengers in absence of driver	TSG	6.044131863434714
Passengers in absence of driver	OG	5.50036767379602
Drivers	TSG	18.040729427282386
Passengers in absence of driver	OG	194.97228027301847
Passengers in absence of driver	OG	7.327010593036097
Drivers	TSG	85.11399796513709
Passengers in presence of driver	TSG	510.6839877908226
Passengers in absence of driver	OG	2.0925672153106527
Passengers in absence of driver	TSG	3.8688180893244133
Drivers	TSG	12.904393966308644
Passengers in absence of driver	TSG	2.3615974025049944
Drivers	OG	7.703823649384657
Passengers in absence of driver	TSG	2.9933798459851686
Passengers in absence of driver	TSG	3.0384429326000646
Drivers	TSG	13.801089043936457
Passengers in absence of driver	TSG	1.9671236553717801
Passengers in absence of driver	OG	3.2195235773156714
Passengers in absence of driver	TSG	0.6441910225842828
Drivers	TSG	22.991597720613
Passengers in absence of driver	TSG	21.592716269373508
Passengers in absence of driver	TSG	6.591747216118213
Passengers in absence of driver	TSG	3.210017852604569
Drivers	TSG	23.688122183334222
Passengers in absence of driver	TSG	1.5257897157417983
Drivers	TSG	37.51845438975296
Drivers	TSG	4.395394462387674
Drivers	TSG	0.5676917377265279
Passengers in presence of driver	TSG	1.7030752131795837
Drivers	OG	2.642913315855902
Drivers	TSG	4.734672503886574
Drivers	TSG	1.7545154566177465
Passengers in absence of driver	TSG	11.949626350121065
Passengers in absence of driver	TSG	2.180801039332638
Passengers in absence of driver	OG	2.650275902831808
Passengers in absence of driver	TSG	1.0909784811324803
Drivers	TSG	9.46321341391575
Passengers in absence of driver	OG	0.8923088452136198
Passengers in absence of driver	OG	2.2210258743469007
Drivers	TSG	5.719055406494731
Passengers in absence of driver	TSG	2.2223203557994475
Passengers in absence of driver	TSG	9.702045395518706
Passengers in absence of driver	TSG	3.2829715865328963
Passengers in absence of driver	OG	11.662300592882206
Passengers in absence of driver	TSG	3.21617816412922
Passengers in absence of driver	OG	5.020951331573553
Drivers	OG	11.016079562009764
Passengers in absence of driver	TSG	0.24769261648974
Drivers	OG	0.21506448738292752
Passengers in presence of driver	OG	0.21506448738292752
Passengers in absence of driver	OG	2.20866394299497
Passengers in absence of driver	OG	7.111285716879746
Drivers	OG	1.0538944769929124
Passengers in presence of driver	OG	3.161683430978737
Passengers in absence of driver	TSG	1.6223152693709357
Passengers in absence of driver	TSG	2.535325579053043
Passengers in absence of driver	TSG	12.143075590823905
Passengers in absence of driver	TSG	2.190623071408515
Passengers in absence of driver	TSG	1.863016570391795
Drivers	TSG	11.542798967150349
Passengers in presence of driver	TSG	11.542798967150349
Drivers	TSG	2.943567962639735
Drivers	TSG	5.063824315071554
Passengers in presence of driver	TSG	5.063824315071554
Passengers in absence of driver	TSG	2.1793836061367426
Drivers	TSG	11.815065863084653
Drivers	OG	7.73217179617655
Passengers in absence of driver	TSG	4.694366775220315
Drivers	TSG	13.851873604423734
Passengers in absence of driver	TSG	1.4603642996254034
Passengers in absence of driver	TSG	1.2125793560646931
Drivers	OG	1.0622791034174486
Passengers in presence of driver	OG	1.0622791034174486
Passengers in absence of driver	TSG	0.4489534448911803
Passengers in absence of driver	TSG	0.7226709774249427
Passengers in absence of driver	OG	1.0782690908044597
Drivers	TSG	3.793029189919911
Passengers in presence of driver	TSG	11.379087569759733
Passengers in absence of driver	TSG	0.5427100032435335
Drivers	TSG	0.053792996818591864
Passengers in presence of driver	TSG	0.9144809459160617
Passengers in absence of driver	TSG	0.5599330755949488
Passengers in absence of driver	TSG	0.7121382643890636
Drivers	OG	0.16172635790511122
Passengers in presence of driver	OG	1.1320845053357784
Drivers	OG	0.12171148017946955
Passengers in presence of driver	OG	0.6896983876836608
Drivers	TSG	0.0637860277644315
Passengers in presence of driver	TSG	0.28703712493994177
Drivers	TSG	1.5934943247409898
Passengers in absence of driver	OG	0.8034369425528526
Passengers in absence of driver	TSG	10.832857652398012
Passengers in absence of driver	OG	1.5150885937804692
Drivers	TSG	74.10582979447119
Passengers in absence of driver	TSG	4.380602852650768
Drivers	OG	8.170391972205879
Passengers in absence of driver	TSG	1.7857510600286652
Drivers	TSG	3.2224608031498976
Drivers	TSG	58.54770943064548
Drivers	OG	6.4604471739833755
Drivers	OG	10.006077441285901
Passengers in absence of driver	TSG	0.9719845596577382
Passengers in absence of driver	TSG	3.9464682303511083
Passengers in absence of driver	TSG	2.2383206685073525
Passengers in absence of driver	TSG	1.5434597895984168
Passengers in absence of driver	TSG	0.16415157461090887
Drivers	OG	0.07126408277143344
Passengers in presence of driver	OG	0.14252816554286687
Passengers in absence of driver	OG	0.7981002309418743
Passengers in absence of driver	OG	1.5142057474037518
Passengers in absence of driver	OG	1.1782030127472833
Drivers	OG	0.6984400274979243
Passengers in presence of driver	OG	1.0476600412468866
Passengers in absence of driver	TSG	0.5683365930278627
Passengers in absence of driver	TSG	0.1866700453524868
Passengers in absence of driver	OG	1.2671007120155675
Passengers in absence of driver	OG	0.2172224368797373
Passengers in absence of driver	TSG	0.7013652302369439
Drivers	TSG	1.0624757523111903
Passengers in absence of driver	TSG	2.7507807478927195
Drivers	TSG	11.936542950367258
Drivers	OG	84.82091098400579
Drivers	OG	24.960894468661106
Passengers in presence of driver	OG	24.960894468661106
Passengers in absence of driver	TSG	0.47798881200416443
Drivers	TSG	2.8885851060219054
Drivers	TSG	2.513785908288713
Passengers in absence of driver	OG	1.3579373941627573
Passengers in absence of driver	TSG	1.2578802126868518
Drivers	TSG	8.70339819830954
Passengers in absence of driver	TSG	1.752988472698949
Passengers in absence of driver	TSG	1.6664653632924606
Passengers in absence of driver	TSG	1.7172346713647229
Passengers in absence of driver	TSG	3.7484894319715996
Drivers	TSG	15.83474856398624
Passengers in absence of driver	TSG	2.2866542835571706
Passengers in absence of driver	TSG	3.6229846161941297
Drivers	TSG	26.72624838306197
Passengers in absence of driver	TSG	1.5636391340139992
Passengers in absence of driver	TSG	2.7748355596046514
Passengers in absence of driver	TSG	2.106813267933601
Passengers in absence of driver	TSG	2.8891785382666706
Passengers in absence of driver	TSG	8.899813904891248
Passengers in absence of driver	TSG	1.068243112552856
Passengers in absence of driver	TSG	3.8388415911614513
Passengers in absence of driver	TSG	0.6593757523790441
Passengers in absence of driver	TSG	6.080152830721553
Passengers in absence of driver	TSG	4.633816355109852
Passengers in absence of driver	TSG	1.128276975581075
Passengers in absence of driver	TSG	1.2513527332536327
Drivers	TSG	3.1217515492374948
Passengers in absence of driver	TSG	13.187218947396184
Drivers	TSG	1.984756136316289
Passengers in presence of driver	TSG	1.984756136316289
Passengers in absence of driver	TSG	1.5723279641522234
Drivers	TSG	23.19768487104987
Passengers in absence of driver	TSG	0.7509870297043398
Drivers	TSG	4.371473107450156
Passengers in absence of driver	TSG	5.994819984707327
Drivers	TSG	18.46641927820307
Passengers in absence of driver	TSG	2.1216621514514697
Passengers in absence of driver	TSG	3.7050396363635127
Passengers in absence of driver	TSG	15.651203538424095
Passengers in absence of driver	TSG	1.5913114403314461
Passengers in absence of driver	TSG	0.5042561010950836
Drivers	TSG	6.037902985046592
Passengers in absence of driver	TSG	37.198263957021126
Passengers in absence of driver	TSG	3.895858368484446
Passengers in absence of driver	OG	1.284570646231203
Passengers in absence of driver	TSG	1.1705853601643281
Passengers in absence of driver	TSG	0.9736252395188069
Drivers	TSG	3.2543121262829313
Passengers in absence of driver	TSG	1.6850088542449875
Passengers in absence of driver	TSG	1.3067396642587084
Drivers	OG	4.804885766408514
Passengers in presence of driver	OG	4.804885766408514
Drivers	TSG	78.19690449733856
Passengers in absence of driver	TSG	3.024578574266855
Passengers in absence of driver	TSG	1.4376464851511366
Passengers in absence of driver	TSG	16.701740321341482
Passengers in absence of driver	TSG	1.7929762027332106
Passengers in absence of driver	TSG	1.0181578555127293
Passengers in absence of driver	TSG	1.6234324125119433
Drivers	TSG	17.10833252781601
Passengers in absence of driver	TSG	29.185341180833795
Passengers in absence of driver	OG	3.1150498918169456
Drivers	TSG	2.8855230272708834
Drivers	OG	115.37789795026838
Drivers	OG	3.891767986413838
Passengers in absence of driver	TSG	2.7716539751322307
Passengers in absence of driver	TSG	1.756568062872425
Passengers in absence of driver	TSG	2.2613681890374457
Passengers in absence of driver	TSG	3.3107271195299592
Passengers in absence of driver	TSG	0.9359470180281968
Passengers in absence of driver	TSG	1.443555600688054
Drivers	TSG	10.434573917217309
Passengers in absence of driver	TSG	2.76783786174644
Drivers	OG	5.884391060594922
Passengers in absence of driver	TSG	2.1545330944053087
Passengers in absence of driver	OG	58.76966863095163
Passengers in absence of driver	OG	2.003876404973715
Passengers in absence of driver	TSG	1.4857903043179683
Drivers	TSG	5.669054755982624
Drivers	OG	38.581723777162814
Passengers in presence of driver	OG	38.581723777162814
Drivers	TSG	23.737421392045473
Drivers	TSG	44.89468828495556
