cancer_type	has_driver	adj_passenger_density
Liver-HCC	False	5.595708597845898
Liver-HCC	False	5.115320085011583
Liver-HCC	True	0.0
Bone-Leiomyo	True	0.0
Bone-Leiomyo	True	0.0
ColoRect-AdenoCA	True	0.0
ColoRect-AdenoCA	False	1.891730427986059
ColoRect-AdenoCA	False	2.4953301090215185
ColoRect-AdenoCA	True	0.0
Liver-HCC	True	0.0
Liver-HCC	False	14.945829386221778
Liver-HCC	False	60.79546368474492
CNS-GBM	True	225.84268770381163
CNS-GBM	False	44.57082116821289
CNS-GBM	True	0.0
CNS-GBM	True	0.0
CNS-GBM	True	0.0
Breast-AdenoCa	False	3.333305134806555
Breast-AdenoCa	False	8.59228434659488
Breast-AdenoCa	False	3.4384419350535316
Breast-AdenoCa	True	0.0
Panc-AdenoCA	False	9.384163358804386
Panc-AdenoCA	False	15.13743928535675
Panc-AdenoCA	False	16.788675506239592
Panc-AdenoCA	True	0.0
Cervix-SCC	True	11.734808705416926
Cervix-SCC	False	11.264293653171027
Skin-Melanoma	False	0.19031540189306145
Skin-Melanoma	False	0.23606496592003934
Skin-Melanoma	False	0.2643737160307514
Skin-Melanoma	False	2.8156992357675774
Skin-Melanoma	False	3.4776655207493814
Skin-Melanoma	False	0.25257389963377447
Skin-Melanoma	False	3.7794331427414987
Skin-Melanoma	False	2.1866043454188566
Skin-Melanoma	True	1.850887177680263
Skin-Melanoma	True	0.18826364312376181
Skin-Melanoma	False	0.5376138798990588
Lymph-CLL	True	0.0
Lymph-CLL	True	0.0
Skin-Melanoma	False	0.26443499556476696
Skin-Melanoma	True	0.45920284240365333
Skin-Melanoma	False	5.7654828747270725
Skin-Melanoma	False	2.1140286078576547
Skin-Melanoma	False	2.4565833429957227
Skin-Melanoma	False	3.2034430389547213
Skin-Melanoma	False	0.9470191002599313
Skin-Melanoma	True	0.0
Skin-Melanoma	False	0.6971917548294059
Kidney-RCC	False	2.9853925670522528
Kidney-RCC	False	2.7553412089520095
Kidney-RCC	False	2.837623192416019
Kidney-RCC	False	3.2920660274946227
Kidney-RCC	True	0.0
Panc-AdenoCA	True	0.0
Panc-AdenoCA	False	3.1828861451477573
Panc-AdenoCA	True	0.0
Panc-AdenoCA	False	9.151588037766318
Panc-AdenoCA	True	0.0
Ovary-AdenoCA	False	3.088829167005727
Ovary-AdenoCA	True	0.0
ColoRect-AdenoCA	True	0.0
ColoRect-AdenoCA	True	0.0
ColoRect-AdenoCA	False	4.243852639546101
ColoRect-AdenoCA	True	0.0
Panc-AdenoCA	True	0.0
Panc-AdenoCA	False	1.9144757271985717
Panc-AdenoCA	False	2.446485829337844
Panc-AdenoCA	False	14.172991106059884
Lymph-BNHL	True	0.0
Lymph-BNHL	False	8.253976519064999
Lymph-BNHL	False	17.23893536884734
ColoRect-AdenoCA	False	10.381729496874662
ColoRect-AdenoCA	False	12.348348218219748
ColoRect-AdenoCA	False	10.224324353806217
ColoRect-AdenoCA	False	12.9582679004296
ColoRect-AdenoCA	False	27.843587942471682
ColoRect-AdenoCA	False	20.954434056901228
ColoRect-AdenoCA	False	9.827706141287605
ColoRect-AdenoCA	False	14.64227927193686
ColoRect-AdenoCA	False	118.95259177644725
ColoRect-AdenoCA	False	16.626887892975972
Panc-Endocrine	True	0.0
