cancer_gene_type	mutation_count_bin	gene_exp	TMB_group
TSG	0-2	0.12262562273626203	Low (0-5/Mb)
TSG	0-2	0.21287208086960374	High (>=10/Mb)
TSG	3-5	0.1093285506360173	High (>=10/Mb)
TSG	20+	0.0009162200638166097	High (>=10/Mb)
TSG	0-2	0.13916823720996074	Low (0-5/Mb)
TSG	20+	0.0005255233523298634	Low (0-5/Mb)
TSG	0-2	0.017887600992957015	Low (0-5/Mb)
TSG	3-5	0.0696685455143565	High (>=10/Mb)
TSG	3-5	0.09680705112381288	High (>=10/Mb)
TSG	5-10	0.08493854073414822	High (>=10/Mb)
TSG	0-2	0.06798595388580557	High (>=10/Mb)
TSG	20+	0.01192437201460152	High (>=10/Mb)
TSG	10-20	0.0	Low (0-5/Mb)
TSG	0-2	0.16085057265503486	Low (0-5/Mb)
TSG	3-5	0.005040174895858416	Low (0-5/Mb)
TSG	5-10	0.0016686458912264042	Low (0-5/Mb)
TSG	0-2	0.1769833967122216	Low (0-5/Mb)
TSG	3-5	0.6520632994877121	Low (0-5/Mb)
TSG	10-20	0.0043751821579143535	Low (0-5/Mb)
TSG	0-2	0.030412974278134018	Low (0-5/Mb)
TSG	0-2	0.029967579853638005	Low (0-5/Mb)
TSG	10-20	0.005888962244723799	Low (0-5/Mb)
TSG	3-5	0.0	Low (0-5/Mb)
TSG	10-20	0.0	Low (0-5/Mb)
TSG	3-5	0.16795960599510487	High (>=10/Mb)
TSG	3-5	0.2404571987055516	High (>=10/Mb)
TSG	5-10	0.14662635198227164	High (>=10/Mb)
TSG	0-2	0.10960627538225212	High (>=10/Mb)
TSG	20+	0.0	High (>=10/Mb)
TSG	0-2	0.15287463739549578	High (>=10/Mb)
TSG	0-2	0.2062630894450911	High (>=10/Mb)
TSG	0-2	0.1438857233591609	High (>=10/Mb)
TSG	20+	0.001002319336856576	High (>=10/Mb)
TSG	5-10	0.0006730276842666736	Low (0-5/Mb)
TSG	0-2	0.1075492060332289	High (>=10/Mb)
TSG	5-10	0.12558851659842346	High (>=10/Mb)
TSG	20+	0.0020265467755886312	High (>=10/Mb)
TSG	0-2	0.27113485731711245	High (>=10/Mb)
TSG	0-2	0.09934989458058752	Low (0-5/Mb)
TSG	3-5	0.0007539978245333087	Low (0-5/Mb)
TSG	3-5	0.15309087464686125	Low (0-5/Mb)
TSG	3-5	0.0010994723162430743	Low (0-5/Mb)
TSG	0-2	0.18759424931279567	Low (0-5/Mb)
TSG	0-2	0.0740026040208015	Low (0-5/Mb)
TSG	0-2	0.6404672774399505	Low (0-5/Mb)
TSG	3-5	3.599914602707646e-05	Low (0-5/Mb)
TSG	5-10	0.0019535604524134444	Low (0-5/Mb)
TSG	10-20	0.006992926099032246	Low (0-5/Mb)
TSG	0-2	0.2647584752220347	High (>=10/Mb)
TSG	20+	0.0012911764394453128	High (>=10/Mb)
TSG	0-2	0.16751010733055954	High (>=10/Mb)
TSG	0-2	0.1424535952941971	Low (0-5/Mb)
TSG	5-10	0.00045976599876252364	Low (0-5/Mb)
TSG	0-2	0.18477023451293723	Low (0-5/Mb)
TSG	0-2	0.11039996523007366	Low (0-5/Mb)
TSG	10-20	8.985014915124234e-05	Low (0-5/Mb)
TSG	0-2	0.09837888901631581	High (>=10/Mb)
TSG	0-2	0.27050320704763664	High (>=10/Mb)
TSG	0-2	0.1133900366680245	High (>=10/Mb)
TSG	20+	0.00041027654115627696	High (>=10/Mb)
TSG	0-2	0.1433417821454867	Medium (5-10/Mb)
TSG	20+	0.0	Medium (5-10/Mb)
TSG	0-2	0.10332335635140284	Medium (5-10/Mb)
TSG	0-2	0.05615837820692785	Low (0-5/Mb)
TSG	5-10	0.0010008530252014936	Low (0-5/Mb)
TSG	0-2	0.20068449143842002	Low (0-5/Mb)
TSG	0-2	0.23836398842471473	Low (0-5/Mb)
TSG	5-10	0.0017346696598004839	Low (0-5/Mb)
TSG	0-2	0.03318745326877119	Medium (5-10/Mb)
TSG	0-2	0.07607226799598799	Medium (5-10/Mb)
TSG	3-5	0.05168465573402142	Medium (5-10/Mb)
TSG	5-10	0.004119994211403877	Medium (5-10/Mb)
TSG	0-2	0.09733145918813196	Medium (5-10/Mb)
TSG	0-2	0.11372228907105505	Low (0-5/Mb)
TSG	10-20	0.002154047456735325	Low (0-5/Mb)
TSG	5-10	0.0	Low (0-5/Mb)
TSG	0-2	0.08068720689189156	Low (0-5/Mb)
TSG	0-2	0.2588510571839218	Low (0-5/Mb)
TSG	10-20	0.0010151059662197193	Low (0-5/Mb)
TSG	0-2	0.2412014234040052	Low (0-5/Mb)
TSG	20+	0.000119402800012926	Low (0-5/Mb)
TSG	0-2	0.18839645295245414	Low (0-5/Mb)
TSG	0-2	0.22494423689572168	Low (0-5/Mb)
TSG	3-5	0.0019271889088449045	Low (0-5/Mb)
TSG	0-2	0.21980140966010442	Low (0-5/Mb)
TSG	10-20	0.004147227762778836	Low (0-5/Mb)
TSG	0-2	0.549802687234044	Low (0-5/Mb)
TSG	20+	0.0013059231075630126	Low (0-5/Mb)
TSG	3-5	0.0	Low (0-5/Mb)
TSG	0-2	0.08313812530351042	Low (0-5/Mb)
TSG	3-5	0.23357063033658532	Low (0-5/Mb)
TSG	0-2	0.27127861291037175	Low (0-5/Mb)
TSG	20+	0.0	Low (0-5/Mb)
TSG	3-5	0.0	Low (0-5/Mb)
TSG	0-2	0.08234091168120962	Low (0-5/Mb)
TSG	3-5	0.0018722936217095176	Low (0-5/Mb)
TSG	0-2	0.07050579474101956	Medium (5-10/Mb)
TSG	20+	0.0005052123013866495	Medium (5-10/Mb)
TSG	3-5	0.003546825192686328	Low (0-5/Mb)
TSG	0-2	0.07555992799347742	High (>=10/Mb)
TSG	0-2	0.02263008941705036	High (>=10/Mb)
TSG	0-2	0.15539819220253417	High (>=10/Mb)
TSG	20+	0.00022678716747344797	High (>=10/Mb)
TSG	0-2	0.08311299217657044	High (>=10/Mb)
TSG	0-2	0.0006398219605740571	Low (0-5/Mb)
TSG	0-2	0.15398372353004872	Low (0-5/Mb)
TSG	20+	0.0010177938606039884	Low (0-5/Mb)
TSG	0-2	0.17574346082568287	Low (0-5/Mb)
TSG	5-10	0.0014838305790248567	Low (0-5/Mb)
TSG	0-2	0.05378819396370041	Medium (5-10/Mb)
TSG	20+	0.0023822615165230003	Medium (5-10/Mb)
TSG	0-2	0.190014156842731	Medium (5-10/Mb)
TSG	20+	0.006104001298249168	High (>=10/Mb)
TSG	0-2	0.047785566846669	Low (0-5/Mb)
