cancer_gene_type	mutation_count_bin	gene_exp	gene_size_group
TSG	2-5	0.2404571987055516	Q1
TSG	5-10	0.14662635198227164	Q2
TSG	0-2	0.10960627538225212	Q1
TSG	10+	0.0	Q3
TSG	0-2	0.15287463739549578	Q1
TSG	0-2	0.2062630894450911	Q1
TSG	0-2	0.1438857233591609	Q2
TSG	10+	0.001002319336856576	Q3
TSG	5-10	0.0006730276842666736	Q3
TSG	0-2	0.1075492060332289	Q2
TSG	5-10	0.12558851659842346	Q2
TSG	10+	0.0020265467755886312	Q3
TSG	0-2	0.27113485731711245	Q1
TSG	0-2	0.09934989458058752	Q2
TSG	2-5	0.0007539978245333087	Q3
TSG	2-5	0.15309087464686125	Q2
TSG	2-5	0.0010994723162430743	Q3
TSG	0-2	0.18759424931279567	Q1
TSG	0-2	0.0740026040208015	Q1
TSG	0-2	0.6404672774399505	Q1
TSG	2-5	3.599914602707646e-05	Q3
TSG	5-10	0.0019535604524134444	Q3
TSG	10+	0.006992926099032246	Q3
TSG	0-2	0.2647584752220347	Q2
TSG	10+	0.0012911764394453128	Q3
TSG	0-2	0.16751010733055954	Q1
TSG	0-2	0.1424535952941971	Q2
TSG	5-10	0.00045976599876252364	Q3
TSG	0-2	0.18477023451293723	Q1
TSG	0-2	0.11039996523007366	Q2
TSG	10+	8.985014915124234e-05	Q3
TSG	0-2	0.09837888901631581	Q2
TSG	0-2	0.27050320704763664	Q1
TSG	0-2	0.1133900366680245	Q1
TSG	10+	0.00041027654115627696	Q3
TSG	0-2	0.1433417821454867	Q2
TSG	10+	0.0	Q3
TSG	0-2	0.10332335635140284	Q1
TSG	0-2	0.05615837820692785	Q2
TSG	5-10	0.0010008530252014936	Q3
TSG	0-2	0.20068449143842002	Q1
TSG	0-2	0.23836398842471473	Q1
TSG	5-10	0.0017346696598004839	Q3
TSG	0-2	0.03318745326877119	Q2
TSG	0-2	0.07607226799598799	Q1
TSG	2-5	0.05168465573402142	Q2
TSG	5-10	0.004119994211403877	Q3
TSG	0-2	0.09733145918813196	Q1
TSG	0-2	0.11372228907105505	Q1
TSG	10+	0.002154047456735325	Q3
TSG	5-10	0.0	Q3
TSG	0-2	0.08068720689189156	Q2
TSG	0-2	0.2588510571839218	Q1
TSG	10+	0.0010151059662197193	Q3
TSG	0-2	0.2412014234040052	Q1
TSG	10+	0.000119402800012926	Q3
TSG	0-2	0.18839645295245414	Q1
TSG	0-2	0.22494423689572168	Q2
TSG	2-5	0.0019271889088449045	Q3
TSG	0-2	0.21980140966010442	Q2
TSG	10+	0.004147227762778836	Q3
TSG	0-2	0.549802687234044	Q2
TSG	10+	0.0013059231075630126	Q3
TSG	2-5	0.0	Q3
TSG	0-2	0.08313812530351042	Q1
TSG	2-5	0.23357063033658532	Q3
TSG	0-2	0.27127861291037175	Q2
TSG	10+	0.0	Q3
TSG	2-5	0.0	Q3
TSG	0-2	0.08234091168120962	Q2
TSG	2-5	0.0018722936217095176	Q3
TSG	0-2	0.07050579474101956	Q2
TSG	10+	0.0005052123013866495	Q3
TSG	2-5	0.003546825192686328	Q3
TSG	0-2	0.07555992799347742	Q2
TSG	0-2	0.02263008941705036	Q1
TSG	0-2	0.15539819220253417	Q2
TSG	10+	0.00022678716747344797	Q3
TSG	0-2	0.08311299217657044	Q1
TSG	0-2	0.0006398219605740571	Q3
TSG	0-2	0.15398372353004872	Q2
TSG	10+	0.0010177938606039884	Q3
TSG	0-2	0.17574346082568287	Q2
TSG	5-10	0.0014838305790248567	Q3
TSG	0-2	0.05378819396370041	Q2
TSG	10+	0.0023822615165230003	Q3
TSG	0-2	0.190014156842731	Q1
TSG	10+	0.006104001298249168	Q1
TSG	0-2	0.047785566846669	Q2
TSG	5-10	6.688005638046765e-05	Q3
TSG	0-2	0.10987984132184778	Q2
TSG	2-5	0.005077268746077943	Q3
TSG	2-5	0.193490945596967	Q2
