covariate	coef	exp(coef)	se(coef)	coef lower 95%	coef upper 95%	exp(coef) lower 95%	exp(coef) upper 95%	cmp to	z	p	-log2(p)
age_at_diagnosis	-0.05026017078771019	0.9509819745830643	0.020754327114243548	-0.09093790445499066	-0.009582437120429721	0.9130744069918965	0.9904633281326112	0.0	-2.4216719005655927	0.015449292192582535	6.016315447026477
sex	-1.1861590132308115	0.3053920209082942	0.5836078721458633	-2.3300094237307603	-0.04230860273086279	0.09729483020492834	0.9585739163942528	0.0	-2.032458898934027	0.04210722062527466	4.569788539213512
num_drivers	0.14231886902035656	1.1529442281255669	0.09784133706476084	-0.04944662782581857	0.3340843658665317	0.9517559540654641	1.3966609691171188	0.0	1.4545883497703656	0.1457832582143931	2.7781030451669744
cna_burden	0.007898050960879067	1.0079293228401196	0.008304605909585913	-0.00837867752770782	0.024174779449465954	0.9916563257622022	1.0244693584343239	0.0	0.9510446428002606	0.34158171408470667	1.5496973497457829
total_mutations	-0.00011452679193165398	0.999885479766011	5.282703518902751e-05	-0.00021806587831217799	-1.098770555112998e-05	0.9997819578963234	0.9999890123548135	0.0	-2.1679579692831576	0.03016188459336308	5.051129614995884
APC_num_passengers	-0.10790064306239283	0.8977167863902752	0.5182148720136741	-1.1235831284622275	0.907781842337442	0.32511278422694395	2.4788180215156665	0.0	-0.20821602946884485	0.835060293160724	0.2600477278352105
ARID1A_num_passengers	0.5035155231036423	1.6545275885610593	0.7528070491105581	-0.9719591804609271	1.9789902266682118	0.3783410730810941	7.235433147706179	0.0	0.6688507017814806	0.5035907202329235	0.989676396416
ARID2_num_passengers	1.8698109121589133	6.48706965731289	0.5667822223600465	0.7589381692556496	2.980683655062177	2.1360069380761177	19.701280922211108	0.0	3.2989935788266878	0.0009703213079796381	10.009249825371873
CSMD3_num_passengers	0.13395310278612496	1.1433391989643809	0.05060389568863202	0.03477128975898448	0.23313491581326545	1.03538287905015	1.2625518060408212	0.0	2.6470907222310363	0.008118756909749367	6.944525436245445
NFE2L2_num_passengers	0.30981654861985064	1.36317501485449	0.3538353794094272	-0.3836880514786921	1.0033211487183933	0.6813439382656082	2.727324654643275	0.0	0.8755951683999302	0.38125015295603815	1.3911901785208736
RB1_num_passengers	-0.15387216110671917	0.8573816207232678	0.45385291862992866	-1.043407535899767	0.7356632136863287	0.3522523221465903	2.086865571458584	0.0	-0.3390353015052139	0.7345831366381557	0.4450023174779505
ARID1A_has_driver	4.5445411833267845e-17	1.0	99.99999999999987	-195.99639845400515	195.99639845400515	7.583080712091836e-86	1.3187252489682973e+85	0.0	4.54454118332679e-19	1.0	-0.0
